time,Nick,ope,valores,text
1687164377,Perfil1,new_profile,,
1687164416,Perfil2,new_profile,,
1687164443,Perfil3,new_profile,,
1687164476,Perfil4,new_profile,,
1687164515,Perfil5,new_profile,,
1687183891,Perfil2,edit_image,,
1687183905,Perfil2,new_image,,
1687183906,Perfil2,edit_image,,
1687184274,Perfil3,edit_image,,
1687184284,Perfil3,new_image,,
1687184289,Perfil3,new_image,,
1687184294,Perfil3,new_image,,
1687184310,Perfil3,new_image,,
1687184319,Perfil3,new_image,,
1687184322,Perfil3,new_image,,
1687184325,Perfil3,edit_image,,
1687184351,Perfil3,new_image,,
1687184356,Perfil3,new_image,,
1687184360,Perfil3,new_image,,
1687184460,Perfil3,edit_image,,
1687184657,Perfil3,change_config,,
1687184723,Perfil3,change_config,,
1687184893,Perfil1,new_collage,saulgoodman.png;sillycat.jpg;tunometescabra.jpg;heisenberg.png,collage1
1687184907,Perfil1,new_collage,gigachad.jpg;heisenberg.png;saulgoodman.png,collage2
1687184917,Perfil1,new_collage,gigachad.jpg;tunometescabra.jpg;que.png,collage3
1687184955,Perfil1,new_collage,saulgoodman.png;sillycat.jpg,collage4
1687184968,Perfil1,new_collage,perronerd.png;sillycat.jpg,collage5
1687184985,Perfil1,new_collage,abuelomax.jpg;gatodudando.jpg;meme.jpg;heisenberg.png,collage6
1687185009,Perfil1,new_collage,que.png;saulgoodman.png,collage7
1687185047,Perfil1,new_meme,Trump-Bill-Signing.jpg,mi tarea;que no anda;yo
1687185075,Perfil1,new_meme,Futurama-Fry.jpg,mi cara cuando;no anda no s�
1687185115,Perfil1,new_meme,Running-Away-Balloon.jpg,errores;yo;errores;errores;yo
1687185199,Perfil1,new_meme,Sleeping-Shaq.jpg,"yo tranquilo;""chicos el programa no anda"""
1687185229,Perfil1,new_meme,This-Is-Where-Id-Put-My-Trophy-If-I-Had-One.jpg,aqu� pondr�a mi programa;si compilara
1687185297,Perfil1,new_meme,Trump-Bill-Signing.jpg,firmando;devuelta;trump
1687185327,Perfil1,edit_image,,
1687185332,Perfil1,edit_image,,
1687185334,Perfil1,edit_image,,
1687185336,Perfil1,edit_image,,
1687436035,Perfil4,change_config,,
1687439175,Perfil4,change_config,,
1687439367,Perfil4,new_collage,heisenberg.png;saulgoodman.png,Lo que queres
1687439647,Perfil4,new_meme,Futurama-Fry.jpg,Esto funciona;Verdad?
